State  Recv-Q Send-Q               Local Address:Port  Peer Address:PortProcess
LISTEN 0      4096                 100.66.215.17:62358      0.0.0.0:*          
LISTEN 0      4096                     127.0.0.1:11434      0.0.0.0:*          
LISTEN 0      128                        0.0.0.0:8072       0.0.0.0:*          
LISTEN 0      24                         0.0.0.0:8069       0.0.0.0:*          
LISTEN 0      4096                    127.0.0.54:53         0.0.0.0:*          
LISTEN 0      511                        0.0.0.0:80         0.0.0.0:*          
LISTEN 0      4096                       0.0.0.0:22         0.0.0.0:*          
LISTEN 0      4096                 127.0.0.53%lo:53         0.0.0.0:*          
LISTEN 0      511                        0.0.0.0:443        0.0.0.0:*          
LISTEN 0      200                      127.0.0.1:5432       0.0.0.0:*          
LISTEN 0      4096   [fd7a:115c:a1e0::5001:d76e]:44194         [::]:*          
LISTEN 0      4096                             *:9100             *:*          
LISTEN 0      4096                          [::]:22            [::]:*          
